Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,134.65,0,0,79.53,95.35464,1.978081,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.01296364,0,0.4465001,0,254.2179,134.5845,0.03607691,0,79.4994,95.35464,1.981906,28.5911619041708,28.5911619039741,0.000106055210938768,14.6948006833177,0.8533105,0.000004297019,89.9999,89.9999,0.01557095,0.00000009736922
0.2,S,0.2,0.01436677,0,0.437847,0,383.6414,134.3712,0.04345,0,79.4688,95.35464,1.985731,59.6751188563012,59.6751188560859,0.000160306945927082,16.5367825329467,7.632538,0.00002174443,89.9999,89.9999,0.4252524,0.00000137394
0.3,S,0.3,0.01724076,0,0.4230964,0,392.3889,134.1671,0.06046252,0,79.4382,95.35464,1.989555,61.9084776898418,61.908477689624,0.000164204894553059,19.9385660428153,13.5032,0.00003760613,89.9999,89.9999,1.479101,0.000004336339
0.3999999,S,0.3999999,0.02108497,0,0.4076608,0,382.4788,133.9612,0.08712745,0,79.4076,95.35464,1.99338,59.6665262013231,59.6665262011078,0.000160291951003908,24.3514568083912,19.43664,0.00005357737,89.9999,89.9999,3.127274,0.000008897573
0.4999998,S,0.4999998,0.02539261,0,0.3941432,0,382.7763,133.7572,0.1221649,0,79.377,95.35464,1.997205,59.8697287988529,59.8697287986374,0.000160646608331779,29.2724802694755,25.33115,0.00006948061,89.9999,89.9999,5.365079,0.00001504945
0.5999997,S,0.5999997,0.03000135,0,0.3825817,0,380.8498,133.5531,0.1655167,0,79.34641,95.35464,2.00103,59.5358680205449,59.5358680203297,0.000160063907241187,34.5127731978677,31.23972,0.00008540843,89.9999,89.9999,8.193598,0.00002279386
0.6999996,S,0.6999996,0.03478138,0,0.372757,0,380.4984,133.3493,0.2167231,0,79.3158,95.35464,2.004855,59.5788661008477,59.5788661006325,0.000160138954460396,39.9410232460827,37.14934,0.0001013381,89.9999,89.9999,11.61278,0.00003213072
0.7999995,S,0.7999995,0.03966988,0,0.3643363,0,377.6305,133.1458,0.2755188,0,79.2852,95.35464,2.00868,59.0118565930077,59.0118565927931,0.000159149336928111,45.4809472684445,43.05002,0.0001172523,89.9999,89.9999,15.62309,0.00004306083
0.8999994,S,0.8999994,0.04461664,0,0.3570554,0,376.8323,132.9431,0.3414981,0,79.2546,95.35464,2.012505,58.9417821532181,58.9417821530036,0.00015902703300074,51.0880892395754,48.93649,0.0001331416,89.9999,89.9999,20.22242,0.00005558053
